Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Senegal,Sweet potatoes,2013,352871,686.0,722.53,24.7
India,"Rice, paddy",2008,32509,1083.0,14485.33,26.83
Armenia,Potatoes,1993,134416,562.0,8.0,7.69
Argentina,Soybeans,2005,27287,591.0,65437.73,17.32
Ecuador,Cassava,2013,25112,2274.0,6471.77,21.69
Mexico,Cassava,2001,153208,758.0,31373.3,25.11
Japan,Potatoes,1997,307549,1668.0,79821.18,15.39
Indonesia,Potatoes,2006,169363,2702.0,1597.0,25.66
United Kingdom,Wheat,2011,77471,1220.0,16401.66,8.95
Italy,Wheat,1991,35094,832.0,88916.6,7.28
Guinea,Plantains and others,2008,52140,1651.0,424.9,27.61
Burundi,Wheat,1993,7748,1274.0,96.99,21.17
Kenya,Yams,2005,86683,630.0,1578.0,17.28
Uruguay,Maize,1993,19631,1300.0,1634.02,16.81
Malaysia,Maize,2013,88991,2875.0,61445.6,27.8
Niger,Sweet potatoes,2008,168296,151.0,12.04,29.3
Greece,Potatoes,2000,207228,652.0,10627.0,18.2
Guatemala,Potatoes,2011,255064,1996.0,16540.71,19.85
Rwanda,Maize,1990,10252,1212.0,157.0,19.39
India,Wheat,1994,23796,1083.0,61357.0,26.55
Ecuador,Cassava,2005,44199,2274.0,18391.23,21.82
Lithuania,Maize,2011,74896,656.0,2062.34,7.32
Bahamas,Sweet potatoes,2007,34364,1292.0,268.2,25.71
Saudi Arabia,Wheat,1998,44999,59.0,2683.37,26.73
Japan,"Rice, paddy",2001,66354,1668.0,78735.45,15.97
South Africa,Soybeans,2011,16986,495.0,26857.0,20.72
Brazil,Potatoes,2006,223802,1761.0,238716.0,18.47
India,Cassava,1999,239523,1083.0,46195.0,26.96
Angola,"Rice, paddy",2010,7403,1010.0,40.0,24.44
Suriname,Plantains and others,2008,282651,2331.0,2108.66,27.22
Ghana,Yams,2010,154841,1187.0,378.97,27.57
Pakistan,Maize,2004,28488,494.0,8903.48,23.78
Turkey,Soybeans,2008,36490,593.0,37640.2,18.47
Pakistan,Sweet potatoes,1992,104368,494.0,5518.0,22.36
Switzerland,Wheat,1993,59382,1537.0,1934.5,7.48
Mexico,Sorghum,2009,36131,758.0,61690.08,19.81
Brazil,Cassava,2002,137949,1761.0,145552.0,27.27
India,"Rice, paddy",1998,28805,1083.0,49157.0,24.34
Indonesia,Maize,1999,26629,2702.0,1597.0,25.26
South Africa,"Rice, paddy",2005,24452,495.0,26857.0,16.29
Brazil,"Rice, paddy",2008,42311,1761.0,312637.0,17.88
India,"Rice, paddy",2013,36070,1083.0,45620.0,27.61
Pakistan,Maize,1994,15004,494.0,6183.0,26.13
Australia,Wheat,2008,10788,534.0,42935.38,18.78
Pakistan,Wheat,2002,22621,494.0,10881.83,27.88
Iraq,"Rice, paddy",2012,45468,216.0,1979.27,24.34
Pakistan,"Rice, paddy",2005,31742,494.0,7914.31,18.75
Canada,Wheat,1991,22559,537.0,29477.5,5.46
South Africa,Wheat,2011,33157,495.0,26857.0,15.49
Mexico,Potatoes,1991,162351,758.0,34468.93,19.36
Indonesia,Maize,1994,22091,2702.0,1597.0,26.56
Brazil,Maize,1992,22828,1761.0,67003.89,27.58
Brazil,Sweet potatoes,1996,86415,1761.0,101621.67,25.45
Dominican Republic,Potatoes,2010,237316,1410.0,6316.61,27.01
Saudi Arabia,Maize,1997,17531,59.0,2513.0,25.88
South Africa,Sweet potatoes,2012,30138,495.0,26857.0,21.24
Uganda,Wheat,2009,16667,1180.0,88.0,24.18
India,Sweet potatoes,1998,86907,1083.0,49157.0,25.77
Papua New Guinea,Cassava,2009,100000,3142.0,105.0,25.08
Morocco,Soybeans,2001,10000,346.0,13842.57,18.56
Brazil,Cassava,2013,140795,1761.0,367778.0,20.07
France,Soybeans,2004,25104,867.0,76099.0,11.34
India,Cassava,2001,266998,1083.0,43720.04,27.2
Bangladesh,"Rice, paddy",2006,38541,2666.0,9074.43,26.44
India,"Rice, paddy",1995,26972,1083.0,61257.0,25.24
Canada,Maize,2007,85108,537.0,45140.03,4.96
India,Maize,1996,17094,1083.0,56114.0,25.41
India,Potatoes,1991,162540,1083.0,72133.0,25.85
Egypt,Sorghum,2002,57756,51.0,5147.0,22.41
Japan,Sweet potatoes,1997,243011,1668.0,79821.18,13.43
Madagascar,Sweet potatoes,1995,59055,1513.0,73.08,19.96
New Zealand,Sweet potatoes,2005,119699,1732.0,4058.0,13.63
Brazil,Sweet potatoes,2006,116902,1761.0,238716.0,18.47
Chile,Wheat,2007,47859,1522.0,9830.72,12.31
Hungary,Wheat,1996,32780,589.0,6946.0,9.44
Qatar,Wheat,2010,22500,74.0,68.0,28.93
Australia,Maize,2009,58171,534.0,38065.68,20.65
Kazakhstan,Potatoes,1995,84589,250.0,13535.0,6.53
Brazil,Yams,2000,91522,1761.0,140423.0,25.71
Ecuador,Potatoes,1999,93077,2274.0,14216.0,17.02
Portugal,Potatoes,1994,144950,854.0,9580.0,16.12
India,Maize,1990,15178,1083.0,75000.0,24.78
Guatemala,Cassava,1999,22731,1996.0,10249.94,19.44
Pakistan,"Rice, paddy",1996,28685,494.0,11955.0,27.17
India,Potatoes,1994,166101,1083.0,61357.0,25.87
South Africa,Soybeans,1991,14483,495.0,16582.0,15.56
Turkey,"Rice, paddy",1999,52321,593.0,33089.0,18.74
Dominican Republic,Plantains and others,1991,108065,1410.0,4971.0,26.43
India,Cassava,2007,322204,1083.0,27422.77,27.31
Japan,Wheat,2010,27612,1668.0,55576.0,13.82
Tajikistan,Potatoes,2008,237053,691.0,253.5,8.29
Pakistan,"Rice, paddy",2008,35199,494.0,4946.79,19.34
Sri Lanka,Cassava,2000,84330,1712.0,1695.71,26.43
India,Cassava,2012,385818,1083.0,52980.0,26.21
Dominican Republic,Sorghum,2001,28965,1410.0,7182.0,26.78
India,Soybeans,1993,10857,1083.0,66388.0,25.66
Uganda,"Rice, paddy",2002,15000,1180.0,88.0,23.99
South Africa,Maize,2001,24371,495.0,26857.0,15.68
Mexico,Soybeans,1995,14121,758.0,34468.93,19.87
Haiti,"Rice, paddy",2012,24722,1440.0,27.85,27.2
Pakistan,Potatoes,2013,218059,494.0,0.92,27.9
Peru,Soybeans,2005,15354,1738.0,10227.74,17.02
Guinea,Cassava,1996,69762,1651.0,157.0,27.33
Austria,Soybeans,1991,24958,1110.0,4487.0,8.15
Morocco,Sweet potatoes,2008,174320,346.0,13697.0,17.96
Japan,Sweet potatoes,1992,235027,1668.0,79821.18,15.68
Guatemala,"Rice, paddy",2006,24662,1996.0,15951.27,19.88
Ecuador,Maize,1990,10602,2274.0,2537.0,22.12
India,Wheat,2013,31538,1083.0,45620.0,27.14
Thailand,"Rice, paddy",2001,28739,1622.0,30629.67,27.81
Brazil,Yams,2009,94599,1761.0,335742.0,26.0
Kenya,Cassava,2010,52521,630.0,1578.0,16.82
Brazil,"Rice, paddy",1991,23020,1761.0,58349.44,20.13
Mozambique,Sweet potatoes,2004,72000,1032.0,572.99,21.89
Qatar,Maize,1996,125692,74.0,6.0,27.66
Papua New Guinea,"Rice, paddy",2004,19266,3142.0,105.0,25.23
South Africa,Maize,1998,21611,495.0,24304.0,16.11
Italy,Sorghum,1999,64309,832.0,81583.0,7.64
Turkey,Wheat,2005,23309,593.0,40332.0,17.78
Australia,Wheat,2007,9173,534.0,32446.25,18.02
Mexico,Sweet potatoes,2005,214928,758.0,51741.99,20.09
Italy,Maize,1993,86612,832.0,89282.2,7.43
Burkina Faso,Maize,1999,16241,748.0,93.43,28.45
Burkina Faso,Sweet potatoes,1996,62201,748.0,39.16,28.74
Pakistan,Sorghum,2002,5989,494.0,10881.83,23.83
Nicaragua,Soybeans,2008,20056,2280.0,10173.91,26.75
India,Maize,1991,13763,1083.0,72133.0,26.7
India,Potatoes,1998,146020,1083.0,49157.0,26.01
Brazil,Soybeans,2000,24033,1761.0,140423.0,27.5
Lesotho,Potatoes,2013,173611,788.0,62.32,14.03
Kazakhstan,Potatoes,1994,95739,250.0,17182.0,3.12
Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,25.37
Belgium,Potatoes,2002,471475,847.0,9204.0,11.44
Ecuador,Soybeans,1999,18130,2274.0,14216.0,17.02
Pakistan,Potatoes,2004,176673,494.0,8903.48,19.93
Mexico,Cassava,2001,153208,758.0,31373.3,22.6
El Salvador,Sweet potatoes,2013,58333,1784.0,6005.08,26.36
Pakistan,Wheat,1995,20811,494.0,7681.0,24.58
Zimbabwe,Maize,2008,2867,657.0,3234.81,20.68
Greece,"Rice, paddy",2005,74059,652.0,12083.0,17.91
Dominican Republic,Maize,1990,16479,1410.0,4971.0,26.67
Spain,Maize,1996,85308,636.0,33236.0,17.01
Bahrain,Sweet potatoes,1991,120000,83.0,14.05,25.73
United Kingdom,Wheat,2010,76746,1220.0,16770.87,7.43
India,Potatoes,1997,193913,1083.0,52279.0,24.71
Bangladesh,Wheat,2008,21753,2666.0,12936.5,26.0
Kazakhstan,Sorghum,2012,2750,250.0,8674.58,6.07
Brazil,Potatoes,2011,262528,1761.0,345026.0,24.32
Spain,Soybeans,2004,26622,636.0,47445.0,17.12
Turkey,"Rice, paddy",1994,50554,593.0,24219.0,14.88
Haiti,Sorghum,2004,8261,1440.0,27.85,27.37
Egypt,Maize,2013,77223,51.0,13653.0,21.44
Colombia,Cassava,1994,94651,3240.0,17051.34,22.33
Ukraine,Potatoes,2005,128388,565.0,23021.7,8.39
United Kingdom,Wheat,1992,68194,1220.0,31077.0,9.54
Burundi,Wheat,2013,7276,1274.0,956.06,21.53
Argentina,Sorghum,2007,47021,591.0,81582.64,16.71
Germany,Maize,2008,98099,700.0,43413.01,5.94
Cameroon,Potatoes,1991,16875,1604.0,99.09,24.99
Japan,Maize,1999,24000,1668.0,79821.18,15.93
Brazil,Cassava,2010,139499,1761.0,342580.0,28.18
Mozambique,Maize,2012,14980,1032.0,766.93,21.92
Azerbaijan,"Rice, paddy",1996,36917,447.0,148.68,11.96
Pakistan,"Rice, paddy",2010,30588,494.0,2968.44,27.45
Mexico,Sweet potatoes,2006,212942,758.0,50891.95,25.35
Brazil,Cassava,2010,139499,1761.0,342580.0,27.56
India,Maize,2001,19996,1083.0,43720.04,25.59
Papua New Guinea,Maize,1994,33615,3142.0,176.0,25.07
New Zealand,Maize,1997,99487,1732.0,3249.0,12.77
Brazil,Sorghum,2002,18573,1761.0,145552.0,22.5
Rwanda,Cassava,2013,157657,1212.0,1841.5,19.93
India,Soybeans,1995,10121,1083.0,61257.0,25.24
Angola,"Rice, paddy",1990,9512,1010.0,64.0,24.12
Canada,Soybeans,2001,15298,537.0,38456.0,8.47
Burundi,Sweet potatoes,2007,66692,1274.0,412.66,21.28
Pakistan,Potatoes,1994,133171,494.0,6183.0,26.36
India,Maize,1996,17094,1083.0,56114.0,26.65
Pakistan,Sorghum,1996,5931,494.0,11955.0,18.72
India,Soybeans,1997,10789,1083.0,52279.0,23.26
India,Sorghum,2005,7968,1083.0,35342.0,25.85
Brazil,Yams,2007,92593,1761.0,304031.0,19.05
Niger,"Rice, paddy",2011,54739,151.0,10.59,30.1
Hungary,Soybeans,2012,16556,589.0,8141.17,11.31
Malawi,Cassava,2007,187722,1181.0,524.46,20.67
Mauritius,Sweet potatoes,1990,75581,2041.0,889.0,23.84
Spain,Wheat,1990,23789,636.0,39562.0,17.36
Indonesia,Cassava,1990,120691,2702.0,2432.0,25.37
Australia,Potatoes,2010,351334,534.0,42169.39,14.23
Indonesia,Soybeans,2004,12801,2702.0,1597.0,26.97
Mauritania,Potatoes,2012,57143,92.0,26.41,27.77
Brazil,Sorghum,2005,19296,1761.0,232232.0,20.78
Canada,Wheat,2001,19452,537.0,38456.0,8.47
Poland,Wheat,1995,36015,600.0,7136.0,8.16
India,Sorghum,2009,9621,1083.0,28707.01,28.1
Pakistan,Maize,2011,39897,494.0,1979.27,27.02
Guinea,Plantains and others,2006,52096,1651.0,376.19,27.2
Thailand,Maize,2012,43225,1622.0,69921.0,28.48
South Africa,"Rice, paddy",1997,22537,495.0,21596.0,15.38
Austria,Potatoes,1997,288325,1110.0,3689.6,8.37
Spain,Sorghum,2002,37970,636.0,40727.0,17.16
Turkey,Potatoes,2000,263762,593.0,33471.0,14.29
Morocco,"Rice, paddy",2009,64154,346.0,13697.0,18.73
Australia,Wheat,2008,10788,534.0,42935.38,14.11
Pakistan,Maize,2005,29843,494.0,7914.31,22.8
Poland,Maize,1997,54011,600.0,9501.0,7.81
Mexico,Potatoes,2004,242399,758.0,26433.14,16.84
Austria,Potatoes,1993,284925,1110.0,3984.0,8.48
Morocco,"Rice, paddy",2012,76015,346.0,13697.0,18.24
Guyana,Plantains and others,2005,29892,2387.0,270.78,27.71
Malawi,Potatoes,2004,120873,1181.0,48.28,20.44
Egypt,Maize,1994,59065,51.0,4283.0,21.1
Armenia,Maize,2001,37913,562.0,79.31,10.18
India,Soybeans,2012,13530,1083.0,52980.0,25.45
Honduras,Soybeans,2005,21122,1976.0,3666.21,24.77
Japan,Sweet potatoes,2001,251300,1668.0,78735.45,15.4
Libya,Maize,1993,12878,56.0,87.0,20.12
Iraq,Potatoes,1994,166360,216.0,692.0,23.47
Brazil,Soybeans,2000,24033,1761.0,140423.0,25.35
Nicaragua,Maize,2002,13369,2280.0,5715.36,27.0
Argentina,Cassava,1991,100000,591.0,26156.0,17.86
Nicaragua,Cassava,2013,78931,2280.0,4413.82,27.26
Brazil,Yams,1998,91823,1761.0,118930.56,20.71
Indonesia,Cassava,1993,123323,2702.0,1597.0,26.88
Turkey,Soybeans,2011,38704,593.0,39534.43,10.39
Brazil,Wheat,2009,20802,1761.0,335742.0,20.78
Bulgaria,Sorghum,2012,20205,608.0,1331.0,9.99
Burkina Faso,Cassava,2012,13636,748.0,843.0,28.67
Mozambique,Cassava,1991,37965,1032.0,102.26,21.77
Indonesia,Sweet potatoes,2000,94211,2702.0,1597.0,27.44
Saudi Arabia,Potatoes,2012,253233,59.0,4996.2,27.02
Rwanda,Yams,1990,40000,1212.0,157.0,19.39
Turkey,"Rice, paddy",2010,86899,593.0,38554.69,15.6
France,Maize,2004,89907,867.0,76099.0,11.34
Spain,"Rice, paddy",1996,69838,636.0,33236.0,16.72
Pakistan,Sweet potatoes,1993,98171,494.0,4945.0,18.91
Canada,Wheat,1995,22467,537.0,32223.4,8.52
Netherlands,Wheat,2004,89149,778.0,10655.4,10.27
Bahamas,Maize,2007,40000,1292.0,268.2,25.71
Pakistan,Soybeans,2001,11134,494.0,11871.0,23.62
Zambia,Soybeans,2008,18642,1020.0,1670.0,20.66
Bahrain,Potatoes,1992,188000,83.0,14.05,25.09
India,Maize,1994,14480,1083.0,61357.0,26.55
Qatar,Maize,2008,181429,74.0,68.0,27.92
India,Sorghum,2009,9621,1083.0,28707.01,27.43
United Kingdom,Potatoes,2009,444167,1220.0,21324.22,10.52
India,Wheat,2000,27785,1083.0,44957.52,26.18
Brazil,Sweet potatoes,2005,113360,1761.0,232232.0,22.05
Ecuador,Sweet potatoes,1993,36276,2274.0,1844.0,22.15
United Kingdom,Wheat,1999,80495,1220.0,35537.0,10.86
Ghana,Cassava,2007,127640,1187.0,119.86,27.16
India,Soybeans,2004,9082,1083.0,35113.0,25.69
Uruguay,Maize,2007,57541,1300.0,14057.2,16.53
Spain,Soybeans,1995,17982,636.0,27852.0,12.99
Japan,Potatoes,2001,318172,1668.0,78735.45,13.13
Argentina,Potatoes,1997,268502,591.0,77691.0,18.54
Mexico,Maize,1990,19942,758.0,34468.93,16.69
Brazil,Sweet potatoes,1992,104452,1761.0,67003.89,24.97
Germany,Wheat,1993,65841,700.0,25170.0,5.33
Slovenia,Maize,1997,74811,1162.0,1245.0,10.18
Mauritius,Potatoes,2012,233356,2041.0,636.91,24.37
Morocco,"Rice, paddy",1990,41750,346.0,9364.0,18.17
South Africa,Potatoes,2013,353546,495.0,26857.0,18.0
Brazil,Sweet potatoes,2006,116902,1761.0,238716.0,20.6
Romania,Maize,1999,36403,637.0,11280.0,12.34
South Africa,Wheat,1998,25295,495.0,24304.0,16.11
Ecuador,Sorghum,1991,15289,2274.0,2377.0,17.59
Iraq,"Rice, paddy",2002,25000,216.0,878.68,23.76
Guatemala,Maize,2010,19944,1996.0,14898.25,19.85
Kenya,Wheat,1998,18951,630.0,4114.0,16.53
Uruguay,Sweet potatoes,2012,94375,1300.0,23506.4,17.53
India,Sweet potatoes,2012,97174,1083.0,52980.0,26.89
Morocco,Sorghum,2011,8011,346.0,13697.0,18.53
Bangladesh,Sweet potatoes,2007,90479,2666.0,10962.31,25.95
Senegal,"Rice, paddy",2006,22401,686.0,511.93,25.32
Romania,Soybeans,2007,12450,637.0,6314.0,12.99
Australia,"Rice, paddy",2005,66168,534.0,34310.0,16.93
India,"Rice, paddy",1999,29782,1083.0,46195.0,26.42
Zambia,Sweet potatoes,2004,38881,1020.0,1670.0,20.79
Australia,Wheat,1993,19658,534.0,23899.0,13.81
India,Cassava,1994,245277,1083.0,61357.0,25.33
Uruguay,Potatoes,2000,124074,1300.0,3650.08,16.95
Egypt,"Rice, paddy",1995,81356,51.0,4391.0,20.62
Malaysia,Cassava,1992,103333,2875.0,39406.48,27.05
Egypt,Wheat,1998,59896,51.0,4715.0,22.36
Rwanda,Soybeans,1998,5505,1212.0,157.0,19.79
Pakistan,Wheat,2005,25858,494.0,7914.31,27.21
Malawi,Sorghum,1996,7196,1181.0,173.19,20.47
India,Maize,1997,17111,1083.0,52279.0,23.26
Sri Lanka,Potatoes,2006,148094,1712.0,1751.75,26.56
Pakistan,Wheat,2005,25858,494.0,7914.31,24.66
Morocco,Maize,2010,12132,346.0,13697.0,18.87
Japan,Wheat,2001,35546,1668.0,78735.45,13.13
Brazil,Sorghum,2001,18654,1761.0,151523.0,18.67
Canada,Potatoes,1994,112448,537.0,29206.0,8.11
India,Potatoes,2009,188103,1083.0,28707.01,28.1
Mali,Sorghum,2007,8262,282.0,7.72,27.94
Ecuador,Soybeans,2009,16585,2274.0,9666.87,22.01
India,Sweet potatoes,1990,79663,1083.0,75000.0,26.63
Pakistan,Maize,1999,17169,494.0,20450.0,26.8
Ecuador,Soybeans,2005,19646,2274.0,18391.23,21.82
New Zealand,Sweet potatoes,2009,119691,1732.0,5086.0,12.84
Australia,Maize,2005,57983,534.0,34310.0,14.38
Egypt,Sorghum,1999,57692,51.0,4823.0,22.28
Uruguay,Maize,2013,56309,1300.0,19028.6,15.92
Japan,Soybeans,1995,17347,1668.0,79821.18,15.32
Argentina,Cassava,1998,100000,591.0,62397.0,17.52
Niger,Sorghum,2008,4291,151.0,12.04,29.3
Argentina,Sorghum,2004,45531,591.0,65003.34,18.11
Brazil,Potatoes,2011,262528,1761.0,345026.0,20.33
Norway,Wheat,1995,47468,1414.0,913.14,3.08
India,Wheat,1996,24828,1083.0,56114.0,25.99
Haiti,Potatoes,1998,127059,1440.0,23.78,27.57
Uruguay,Sweet potatoes,1999,100000,1300.0,3925.03,16.62
India,"Rice, paddy",2000,28508,1083.0,44957.52,24.57
Egypt,Maize,1992,61346,51.0,6156.0,21.11
Belgium,Potatoes,2012,454233,847.0,6139.3,10.68
Chile,Wheat,1995,35500,1522.0,15373.0,13.02
Brazil,Sweet potatoes,2011,124266,1761.0,345026.0,27.36
Japan,Soybeans,1990,15106,1668.0,79821.18,16.46
Morocco,Soybeans,1990,16181,346.0,9364.0,18.29
Azerbaijan,Wheat,2000,23223,447.0,148.68,12.61
Zambia,Sorghum,2013,6478,1020.0,1670.0,20.14
India,Potatoes,1993,149024,1083.0,66388.0,26.34
India,"Rice, paddy",2007,32924,1083.0,27422.77,26.0
Jamaica,Yams,2005,150928,2051.0,909.71,27.34
Haiti,Maize,1999,8333,1440.0,26.32,27.01
Guatemala,Potatoes,2012,249536,1996.0,19726.3,19.88
Dominican Republic,Potatoes,1994,121589,1410.0,4971.0,26.64
India,Maize,1990,15178,1083.0,75000.0,25.77
Ukraine,Potatoes,2004,133386,565.0,15344.4,8.32
Turkey,Maize,1997,38247,593.0,34431.0,10.13
Ecuador,Plantains and others,2007,55969,2274.0,14156.16,17.44
El Salvador,Soybeans,1998,24000,1784.0,3009.39,26.48
Central African Republic,"Rice, paddy",2009,15000,1342.0,22.87,26.17
Egypt,Sorghum,1994,46272,51.0,4283.0,22.02
Pakistan,Potatoes,2009,202848,494.0,3957.61,27.41
India,Sweet potatoes,2010,92069,1083.0,40093.69,26.67
Brazil,Sweet potatoes,2011,124266,1761.0,345026.0,20.33
Japan,Soybeans,2004,11930,1668.0,64688.88,16.19
Morocco,Maize,1995,1303,346.0,11399.71,18.72
Central African Republic,Potatoes,1999,25434,1342.0,22.87,25.05
Papua New Guinea,Maize,1991,25000,3142.0,121.0,25.04
Germany,Potatoes,1996,390096,700.0,31683.0,7.88
Pakistan,Maize,1993,13983,494.0,4945.0,23.08
Rwanda,Soybeans,2007,7926,1212.0,398.11,19.6
Brazil,Cassava,2007,140099,1761.0,304031.0,27.92
Canada,Wheat,2008,28575,537.0,53707.3,5.01
Peru,Cassava,2009,116481,1738.0,11531.33,17.4
India,Maize,1995,15946,1083.0,61257.0,27.24
Australia,Sweet potatoes,1999,275000,534.0,34200.0,19.75
India,Soybeans,1998,11001,1083.0,49157.0,27.09
India,Maize,2012,25557,1083.0,52980.0,25.88
Colombia,Cassava,2008,109215,3240.0,48538.97,27.16
Australia,Soybeans,1993,16168,534.0,23899.0,13.81
South Africa,Wheat,2011,33157,495.0,26857.0,15.49
Slovenia,Potatoes,1993,125740,1162.0,1112.0,10.19
Ghana,Cassava,2001,123436,1187.0,82.0,26.76
Belarus,Maize,1997,20333,618.0,8306.31,5.98
Angola,Sweet potatoes,2000,34938,1010.0,40.0,24.41
Azerbaijan,Potatoes,2008,156430,447.0,262.99,12.3
Chile,Maize,1993,84890,1522.0,15373.0,13.26
Canada,Wheat,2010,28085,537.0,61050.0,6.73
India,Cassava,1994,245277,1083.0,61357.0,24.29
Mexico,Soybeans,2008,20196,758.0,61732.11,25.22
Australia,Potatoes,2013,385434,534.0,45177.18,12.19
Slovenia,Maize,1999,69368,1162.0,1133.0,10.51
Ukraine,Soybeans,2000,10627,565.0,27343.71,8.82
Colombia,Maize,1994,15671,3240.0,17051.34,22.33
Mexico,Soybeans,2010,10925,758.0,63402.29,20.9
Eritrea,Maize,2010,9000,383.0,27.63,25.22
Iraq,Maize,1992,20046,216.0,692.0,17.76
India,"Rice, paddy",1997,28457,1083.0,52279.0,26.53
Canada,Maize,2007,85108,537.0,45140.03,7.42
Mexico,Maize,2008,33071,758.0,61732.11,17.21
Thailand,Sorghum,1997,14983,1622.0,23960.0,28.01
Australia,Sweet potatoes,2002,347368,534.0,26651.0,14.08
Albania,Maize,2005,45442,1485.0,880.64,15.67
United Kingdom,Potatoes,2013,408993,1220.0,17673.46,8.39
Mexico,"Rice, paddy",1998,45108,758.0,34468.93,20.31
India,Maize,2001,19996,1083.0,43720.04,25.76
Mexico,Potatoes,1995,199803,758.0,34468.93,21.5
Japan,Potatoes,2005,316341,1668.0,63829.77,15.75
Brazil,Yams,1994,91667,1761.0,84312.78,18.42
Uganda,Cassava,2010,61120,1180.0,88.0,24.14
South Africa,Sweet potatoes,1994,36093,495.0,16582.0,20.65
Hungary,"Rice, paddy",1996,22508,589.0,6946.0,9.44
Mexico,Soybeans,1999,16366,758.0,34468.93,16.18
Suriname,Sweet potatoes,1993,61774,2331.0,188.0,26.83
Italy,Soybeans,1996,36951,832.0,74617.2,12.28
Brazil,Soybeans,1996,22493,1761.0,101621.67,20.18
Iraq,Maize,2013,42214,216.0,2162.6,25.14
Ireland,Potatoes,1995,275893,1118.0,2152.0,9.75
Australia,"Rice, paddy",2006,98176,534.0,35900.0,18.99
Brazil,Maize,1991,18084,1761.0,58349.44,20.13
Guatemala,Wheat,1991,20124,1996.0,12004.33,19.91
India,"Rice, paddy",1996,28226,1083.0,56114.0,27.01
Brazil,Soybeans,1990,17322,1761.0,49695.0,20.29
Pakistan,Potatoes,2006,133447,494.0,6925.13,23.28
France,Wheat,2001,66169,867.0,99694.0,11.37
Austria,Wheat,2000,44688,1110.0,3563.2,10.08
Pakistan,Sorghum,2007,6045,494.0,5935.96,26.53
Italy,Soybeans,1998,35040,832.0,84117.0,12.96
Egypt,Sorghum,2002,57756,51.0,5147.0,21.46
Norway,Wheat,2011,38517,1414.0,823.96,4.14
Indonesia,Potatoes,2004,163870,2702.0,1597.0,27.42
Egypt,"Rice, paddy",1991,74554,51.0,8255.0,20.64
India,Cassava,2008,335407,1083.0,14485.33,25.88
Brazil,Soybeans,1995,21998,1761.0,92967.22,27.34
Mexico,Sorghum,2001,33800,758.0,31373.3,20.15
Brazil,Maize,1999,27765,1761.0,127585.0,17.66
India,Potatoes,2011,227240,1083.0,55540.0,25.81
South Africa,Sorghum,1992,6178,495.0,16582.0,21.53
India,Maize,2007,23352,1083.0,27422.77,25.58
Guatemala,Plantains and others,2002,230957,1996.0,10381.71,19.93
Pakistan,Maize,1993,13983,494.0,4945.0,27.25
Mexico,Sorghum,1997,30423,758.0,34468.93,19.65
Colombia,Soybeans,2007,20000,3240.0,82439.06,22.48
Argentina,Cassava,2007,100000,591.0,81582.64,16.71
Thailand,Potatoes,2007,157503,1622.0,66858.0,27.79
Pakistan,"Rice, paddy",1999,30744,494.0,20450.0,25.5
Haiti,Potatoes,2008,130435,1440.0,27.85,27.08
Croatia,Potatoes,1997,98123,1113.0,3026.25,10.18
Iraq,Soybeans,2008,9016,216.0,1245.94,20.46
Italy,Wheat,2011,38335,832.0,70690.0,13.46
Denmark,Potatoes,2005,394100,703.0,3246.0,9.11
Brazil,Yams,1995,91587,1761.0,92967.22,18.89
India,Cassava,2000,269087,1083.0,44957.52,25.98
Mauritius,Sweet potatoes,2006,70345,2041.0,623.96,24.32
India,Wheat,1997,26789,1083.0,52279.0,25.09
Brazil,Cassava,1994,132173,1761.0,84312.78,18.42
Turkey,"Rice, paddy",1993,50176,593.0,28042.0,11.45
Italy,Sweet potatoes,1991,214905,832.0,88916.6,12.05
Australia,"Rice, paddy",1995,88003,534.0,25598.0,11.39
India,Sweet potatoes,1994,84823,1083.0,61357.0,26.74
Japan,Soybeans,2009,15812,1668.0,60970.8,13.55
India,Soybeans,2004,9082,1083.0,35113.0,26.24
Belarus,Wheat,2008,39752,618.0,8306.31,7.75
Pakistan,"Rice, paddy",2008,35199,494.0,4946.79,24.89
Japan,Wheat,1991,31797,1668.0,79821.18,15.6
Colombia,Soybeans,2006,20000,3240.0,98328.63,22.6
Japan,Sweet potatoes,2005,258088,1668.0,63829.77,15.75
Mozambique,Wheat,1993,11541,1032.0,102.26,22.04
India,"Rice, paddy",1996,28226,1083.0,56114.0,25.9
Pakistan,Sorghum,2012,6203,494.0,990.09,18.74
Spain,Soybeans,2008,29801,636.0,40719.0,11.92
Pakistan,Sorghum,2001,6197,494.0,11871.0,23.62
Japan,Maize,1999,24000,1668.0,79821.18,15.93
Italy,Maize,2006,87285,832.0,74349.0,12.87
South Africa,Soybeans,1991,14483,495.0,16582.0,21.06
Argentina,Wheat,2009,19628,591.0,61586.56,18.16
Spain,Sweet potatoes,2005,161439,636.0,41017.0,16.69
Brazil,"Rice, paddy",2007,38260,1761.0,304031.0,25.44
Burundi,Sweet potatoes,1999,65551,1274.0,150.24,21.01
Eritrea,Sorghum,1996,2463,383.0,4.44,24.36
Pakistan,Maize,1991,14235,494.0,5962.0,22.48
Peru,Sorghum,2000,25760,1738.0,5175.0,17.02
Switzerland,Maize,2007,101695,1537.0,2099.3,8.43
Brazil,Yams,2006,92308,1761.0,238716.0,19.35
Guinea,Potatoes,2009,89880,1651.0,449.26,27.37
Guinea,Yams,2005,113843,1651.0,351.84,27.66
